road_segment,road_category,day_of_week,hour_of_day,current_speed,avg_speed_last_15min,avg_speed_last_30min,weather_condition,is_peak_hour,future_speedband
Bedok North Avenue 3,C,5,0,38.0,41.6,32.9,Clouds,0,4
Bukit Timah Expressway,Y,1,20,43.7,41.0,43.8,Clear,1,5
Orchard Road,B,6,14,26.4,29.0,29.6,Rain,0,3
Tampines Expressway,Y,3,9,49.8,44.4,50.2,Clouds,1,5
Upper Thomson Road,B,5,16,40.6,44.7,40.7,Mist,0,5
Clementi Avenue 3,C,0,4,22.2,22.0,31.2,Thunderstorm,0,3
Seletar Expressway,Y,4,21,69.7,69.2,66.0,Clear,0,7
Central Expressway,Y,2,15,57.1,60.3,62.2,Drizzle,0,6
Upper Thomson Road,B,1,13,29.4,32.7,28.7,Thunderstorm,0,3
Ayer Rajah Expressway,Y,6,12,69.0,67.5,65.9,Drizzle,0,8
Upper Thomson Road,B,1,16,43.2,47.5,37.4,Drizzle,0,4
Bedok North Avenue 3,C,4,21,34.8,26.8,36.8,Mist,0,4
Kallang Paya Lebar Expressway,Y,5,21,72.4,76.7,81.6,Clear,0,8
East Coast Parkway,Y,6,9,74.2,75.3,90.1,Haze,0,8
Seletar Expressway,Y,0,14,61.3,61.4,62.7,Drizzle,0,7
Tampines Expressway,Y,2,16,77.1,72.8,76.8,Clouds,0,8
Seletar Expressway,Y,3,4,72.5,72.4,73.9,Clouds,0,7
Central Expressway,Y,1,15,63.1,62.4,62.6,Haze,0,7
Tampines Avenue 10,B,0,23,40.4,41.3,46.6,Haze,0,4
Kallang Paya Lebar Expressway,Y,5,20,71.8,71.9,70.2,Clear,0,8
Seletar Expressway,Y,3,17,18.3,18.6,17.6,Thunderstorm,1,3
Upper Thomson Road,B,2,2,40.6,37.4,36.8,Haze,0,5
Pan Island Expressway,Y,1,5,58.7,60.3,65.5,Rain,0,6
Tampines Expressway,Y,0,22,73.8,79.4,73.0,Clouds,0,8
Nicoll Highway,B,2,3,43.9,48.8,45.4,Rain,0,5
Woodlands Avenue 12,B,1,6,42.3,45.0,44.8,Clouds,0,5
Woodlands Avenue 12,B,3,12,40.5,29.6,31.9,Drizzle,0,5
Nicoll Highway,B,4,8,34.5,41.2,34.5,Haze,1,4
Nicoll Highway,B,1,22,52.1,48.0,50.8,Clouds,0,5
Seletar Expressway,Y,5,3,56.0,57.9,51.0,Rain,0,6
Clementi Avenue 3,C,2,15,27.7,23.1,28.8,Rain,0,4
Woodlands Avenue 12,B,4,0,39.1,37.7,43.5,Mist,0,5
Clementi Avenue 3,C,5,17,34.5,34.9,35.2,Drizzle,0,4
Ayer Rajah Expressway,Y,2,8,16.6,17.6,20.0,Thunderstorm,1,2
Clementi Avenue 3,C,2,0,18.7,13.7,13.5,Thunderstorm,0,2
Ayer Rajah Expressway,Y,6,6,76.1,77.0,78.1,Clear,0,8
Orchard Road,B,5,22,21.4,24.5,27.3,Thunderstorm,0,3
Kallang Paya Lebar Expressway,Y,3,0,44.2,42.5,48.2,Thunderstorm,0,5
Tampines Expressway,Y,5,13,64.4,61.8,61.7,Drizzle,0,7
Tampines Expressway,Y,6,23,68.0,75.3,61.1,Mist,0,8
Upper Thomson Road,B,4,6,26.6,31.0,24.3,Thunderstorm,0,4
Orchard Road,B,2,0,45.0,44.8,44.0,Clouds,0,5
Central Expressway,Y,3,23,62.6,71.0,59.7,Drizzle,0,7
Upper Thomson Road,B,6,3,45.9,44.7,38.9,Clear,0,4
Orchard Road,B,1,10,43.3,43.8,40.0,Clouds,0,5
Central Expressway,Y,4,17,42.5,44.3,45.5,Clear,1,5
Tampines Avenue 10,B,2,18,25.0,27.5,32.4,Drizzle,1,3
Ayer Rajah Expressway,Y,1,21,60.5,59.4,62.3,Rain,0,6
Bukit Timah Expressway,Y,1,0,74.1,73.3,83.0,Clear,0,8
Pan Island Expressway,Y,0,20,43.4,47.5,42.6,Clouds,1,5
Orchard Road,B,2,18,32.4,25.4,22.4,Clouds,1,4
Upper Thomson Road,B,6,2,44.1,47.2,45.0,Mist,0,5
Nicoll Highway,B,6,15,52.4,56.8,40.1,Clear,0,5
Upper Thomson Road,B,3,15,46.5,43.9,58.8,Clouds,0,6
Kallang Paya Lebar Expressway,Y,3,1,72.0,69.0,71.6,Clear,0,7
Seletar Expressway,Y,1,9,29.5,32.1,25.5,Rain,1,4
Seletar Expressway,Y,0,5,73.8,73.4,81.5,Clear,0,8
Nicoll Highway,B,3,1,47.7,44.9,55.1,Haze,0,5
Kallang Paya Lebar Expressway,Y,0,10,68.6,66.6,65.0,Clouds,0,7
Bukit Timah Expressway,Y,2,6,57.5,55.4,44.2,Drizzle,0,6
Pan Island Expressway,Y,3,14,80.0,83.9,82.1,Clear,0,8
Kallang Paya Lebar Expressway,Y,1,9,56.6,58.3,53.9,Clear,1,6
Tampines Expressway,Y,3,11,51.1,48.7,51.2,Rain,0,6
East Coast Parkway,Y,6,2,78.0,76.4,83.2,Clouds,0,8
Seletar Expressway,Y,5,22,69.0,73.6,65.0,Haze,0,8
Seletar Expressway,Y,2,7,33.4,32.0,38.4,Rain,1,4
Nicoll Highway,B,5,13,47.0,49.0,50.3,Clouds,0,5
Woodlands Avenue 12,B,4,22,44.2,44.3,41.2,Clear,0,5
Bedok North Avenue 3,C,0,0,22.4,24.8,22.7,Rain,0,3
Woodlands Avenue 12,B,6,21,37.5,36.2,35.5,Drizzle,0,3
East Coast Parkway,Y,1,23,53.3,50.4,53.6,Rain,0,5
Seletar Expressway,Y,3,11,66.0,69.7,52.1,Mist,0,7
Central Expressway,Y,6,19,69.5,75.0,68.5,Clear,0,8
Bukit Timah Expressway,Y,3,16,54.2,49.5,55.3,Rain,0,6
Woodlands Avenue 12,B,6,5,26.7,23.5,31.1,Rain,0,3
East Coast Parkway,Y,2,23,78.3,77.7,74.3,Mist,0,8
Seletar Expressway,Y,1,12,75.1,72.9,79.7,Clear,0,8
Seletar Expressway,Y,2,22,70.3,76.0,72.6,Clear,0,7
Central Expressway,Y,6,13,68.0,62.8,72.3,Haze,0,7
Bukit Timah Expressway,Y,1,23,67.9,63.4,72.0,Drizzle,0,7
Seletar Expressway,Y,4,3,66.6,67.5,74.0,Haze,0,8
Tampines Avenue 10,B,3,10,32.6,36.3,27.2,Rain,0,4
Clementi Avenue 3,C,1,22,25.9,20.3,35.2,Rain,0,3
Seletar Expressway,Y,4,22,46.7,46.1,44.2,Rain,0,5
Ayer Rajah Expressway,Y,2,21,54.8,53.5,65.9,Rain,0,5
Upper Thomson Road,B,0,8,33.2,36.1,33.3,Haze,1,4
Central Expressway,Y,2,4,51.4,53.9,56.0,Rain,0,6
Bedok North Avenue 3,C,5,22,31.5,32.2,31.1,Clouds,0,3
Tampines Expressway,Y,0,11,70.6,66.4,77.8,Haze,0,8
Upper Thomson Road,B,4,23,48.9,47.9,51.4,Clear,0,5
Tampines Avenue 10,B,6,10,41.7,47.1,43.5,Mist,0,5
Bedok North Avenue 3,C,4,8,23.5,19.6,16.7,Haze,1,2
Orchard Road,B,2,3,34.9,34.3,34.1,Mist,0,5
Central Expressway,Y,5,3,67.4,67.7,69.0,Haze,0,8
Nicoll Highway,B,5,8,49.7,47.9,49.6,Clouds,0,5
Nicoll Highway,B,1,1,27.4,29.5,21.5,Thunderstorm,0,3
Tampines Expressway,Y,2,8,55.5,49.2,55.3,Clouds,1,7
Ayer Rajah Expressway,Y,2,3,67.4,62.4,68.5,Clouds,0,7
Seletar Expressway,Y,4,15,48.4,47.7,47.5,Rain,0,5
Seletar Expressway,Y,5,1,56.4,58.1,57.9,Rain,0,7
Upper Thomson Road,B,6,2,41.2,38.4,48.8,Mist,0,5
Ayer Rajah Expressway,Y,0,9,43.0,37.7,39.0,Drizzle,1,5
East Coast Parkway,Y,1,4,82.0,77.9,78.9,Clouds,0,8
Tampines Avenue 10,B,1,19,34.3,31.9,28.6,Clouds,1,4
Woodlands Avenue 12,B,2,23,39.2,39.3,38.1,Clouds,0,5
Orchard Road,B,5,20,37.3,30.7,39.0,Drizzle,0,5
Bedok North Avenue 3,C,5,19,23.4,16.4,28.1,Rain,0,2
Orchard Road,B,3,11,34.3,35.4,36.6,Drizzle,0,4
East Coast Parkway,Y,0,5,75.0,78.8,67.9,Haze,0,8
Kallang Paya Lebar Expressway,Y,1,6,52.2,53.1,50.9,Rain,0,6
Tampines Expressway,Y,0,22,71.7,72.7,67.9,Clear,0,8
Tampines Avenue 10,B,3,18,16.6,9.6,24.6,Thunderstorm,1,2
Nicoll Highway,B,3,7,31.4,32.2,36.8,Haze,1,3
Woodlands Avenue 12,B,0,21,32.6,25.4,35.8,Rain,0,3
Tampines Expressway,Y,4,12,51.6,50.1,58.0,Rain,0,6
Tampines Expressway,Y,1,12,41.6,43.9,42.2,Thunderstorm,0,6
Seletar Expressway,Y,2,15,64.9,65.6,64.9,Drizzle,0,7
Bukit Timah Expressway,Y,4,9,36.3,35.6,28.2,Mist,1,5
Tampines Expressway,Y,6,19,39.6,38.0,45.7,Thunderstorm,0,4
Kallang Paya Lebar Expressway,Y,5,20,65.4,63.8,57.5,Drizzle,0,6
East Coast Parkway,Y,5,21,70.1,77.2,61.4,Mist,0,8
Seletar Expressway,Y,3,17,44.2,49.9,41.9,Haze,1,5
Tampines Expressway,Y,0,21,72.5,72.2,67.4,Clouds,0,8
Clementi Avenue 3,C,5,7,37.2,33.0,33.9,Haze,0,5
Central Expressway,Y,0,3,70.8,70.9,70.3,Clear,0,8
Kallang Paya Lebar Expressway,Y,6,17,48.1,47.5,44.0,Rain,0,5
Kallang Paya Lebar Expressway,Y,5,5,68.7,66.4,65.8,Clouds,0,7
East Coast Parkway,Y,5,5,67.2,65.5,72.7,Drizzle,0,7
Tampines Expressway,Y,3,14,34.7,32.4,31.5,Thunderstorm,0,4
Tampines Avenue 10,B,0,9,18.6,27.0,16.3,Rain,1,2
Woodlands Avenue 12,B,3,11,29.4,30.0,23.8,Rain,0,4
Central Expressway,Y,2,12,75.0,78.6,80.5,Clear,0,7
Orchard Road,B,2,5,41.6,40.7,32.3,Clouds,0,5
East Coast Parkway,Y,6,3,50.1,51.4,48.6,Rain,0,5
Tampines Expressway,Y,1,5,64.7,67.6,54.9,Mist,0,6
Clementi Avenue 3,C,2,6,34.8,37.6,37.2,Drizzle,0,4
Clementi Avenue 3,C,2,22,34.5,36.5,38.8,Haze,0,5
Kallang Paya Lebar Expressway,Y,6,21,61.1,62.3,64.0,Haze,0,7
Orchard Road,B,2,9,4.8,4.8,9.2,Thunderstorm,1,1
Woodlands Avenue 12,B,0,5,29.1,31.1,25.9,Rain,0,4
Bedok North Avenue 3,C,4,1,36.7,39.8,38.7,Clouds,0,4
East Coast Parkway,Y,4,10,61.6,62.1,60.6,Rain,0,7
Seletar Expressway,Y,4,3,54.2,50.6,48.9,Rain,0,5
Orchard Road,B,6,11,37.2,41.5,34.9,Drizzle,0,4
Tampines Expressway,Y,3,15,52.8,54.4,57.9,Rain,0,5
Upper Thomson Road,B,4,5,22.8,24.2,20.6,Thunderstorm,0,2
Orchard Road,B,3,4,37.1,33.6,37.3,Haze,0,4
Clementi Avenue 3,C,1,21,35.0,26.2,41.0,Haze,0,3
Bukit Timah Expressway,Y,4,13,62.4,65.5,52.8,Drizzle,0,7
Clementi Avenue 3,C,3,7,13.7,15.9,5.1,Rain,1,2
Orchard Road,B,3,17,29.8,26.3,26.4,Haze,1,3
Bukit Timah Expressway,Y,0,6,67.7,62.3,63.9,Haze,0,7
Tampines Expressway,Y,2,11,69.9,67.9,71.0,Clear,0,7
Pan Island Expressway,Y,5,22,50.7,48.8,49.3,Rain,0,5
Ayer Rajah Expressway,Y,0,1,37.4,39.8,36.2,Thunderstorm,0,4
Kallang Paya Lebar Expressway,Y,4,14,71.1,71.8,79.0,Clear,0,8
Tampines Expressway,Y,5,19,64.3,63.4,65.3,Drizzle,0,7
Nicoll Highway,B,5,2,46.2,49.1,46.6,Drizzle,0,5
Tampines Avenue 10,B,3,15,40.1,38.1,42.3,Mist,0,5
Tampines Avenue 10,B,0,23,42.9,44.8,36.6,Drizzle,0,5
Tampines Expressway,Y,0,3,61.2,61.1,57.9,Rain,0,7
Pan Island Expressway,Y,5,12,65.3,61.3,57.9,Haze,0,7
Kallang Paya Lebar Expressway,Y,6,9,66.3,68.3,64.3,Mist,0,7
Orchard Road,B,5,16,44.4,47.2,47.7,Clouds,0,5
Kallang Paya Lebar Expressway,Y,4,8,24.3,24.6,18.7,Rain,1,3
Orchard Road,B,3,2,32.8,34.5,30.3,Rain,0,3
Ayer Rajah Expressway,Y,2,17,7.2,8.3,5.7,Thunderstorm,1,1
Kallang Paya Lebar Expressway,Y,2,0,33.7,29.5,23.8,Thunderstorm,0,4
Nicoll Highway,B,2,6,53.6,47.1,49.0,Clear,0,6
Upper Thomson Road,B,1,4,50.0,49.7,47.7,Clear,0,5
Pan Island Expressway,Y,0,18,41.7,42.0,45.6,Mist,1,5
Central Expressway,Y,3,2,61.6,59.5,65.5,Haze,0,7
Tampines Avenue 10,B,5,14,37.4,38.6,39.9,Mist,0,5
Kallang Paya Lebar Expressway,Y,6,9,74.2,74.8,78.1,Clouds,0,8
Tampines Avenue 10,B,0,10,34.0,40.6,31.4,Rain,0,4
Bukit Timah Expressway,Y,6,6,63.0,60.6,61.2,Mist,0,7
Orchard Road,B,1,19,25.4,33.5,27.4,Clouds,1,3
East Coast Parkway,Y,2,14,73.4,73.2,77.1,Clear,0,8
Seletar Expressway,Y,1,21,66.7,68.7,63.0,Haze,0,7
Clementi Avenue 3,C,5,23,40.0,41.8,46.2,Clear,0,5
Orchard Road,B,4,22,37.5,36.6,31.4,Haze,0,4
Nicoll Highway,B,3,16,49.8,56.2,51.0,Clouds,0,5
Tampines Avenue 10,B,6,17,38.1,44.1,40.8,Haze,0,5
Nicoll Highway,B,3,8,34.1,33.6,34.2,Clear,1,4
East Coast Parkway,Y,4,12,64.9,68.1,63.4,Drizzle,0,7
Bedok North Avenue 3,C,2,1,34.8,38.7,43.7,Mist,0,4
Pan Island Expressway,Y,4,18,50.7,51.0,46.9,Clear,1,6
Orchard Road,B,3,20,29.4,36.0,30.8,Mist,1,4
Pan Island Expressway,Y,6,8,68.6,68.5,68.1,Clouds,0,7
Tampines Expressway,Y,1,23,66.2,67.7,63.1,Drizzle,0,6
Upper Thomson Road,B,6,0,49.2,51.2,37.3,Clear,0,6
Central Expressway,Y,5,12,63.0,55.9,59.1,Drizzle,0,7
Pan Island Expressway,Y,5,8,72.7,67.2,70.4,Clouds,0,8
Woodlands Avenue 12,B,0,9,25.8,22.0,35.2,Clear,1,3
Kallang Paya Lebar Expressway,Y,5,13,55.5,56.9,57.3,Rain,0,6
Nicoll Highway,B,3,13,46.9,50.5,44.8,Drizzle,0,6
Pan Island Expressway,Y,6,20,70.8,69.3,66.3,Clear,0,6
Bukit Timah Expressway,Y,5,10,49.2,53.1,50.5,Rain,0,6
Woodlands Avenue 12,B,2,11,43.3,42.4,45.3,Clear,0,5
Seletar Expressway,Y,1,11,52.0,44.8,54.6,Rain,0,5
East Coast Parkway,Y,4,3,40.3,41.1,40.1,Thunderstorm,0,4
Tampines Expressway,Y,1,23,73.8,78.2,72.8,Mist,0,7
Orchard Road,B,2,14,39.0,43.5,42.7,Clear,0,5
East Coast Parkway,Y,4,18,35.2,35.7,36.8,Mist,1,5
Orchard Road,B,3,16,38.5,46.1,45.9,Haze,0,5
Woodlands Avenue 12,B,0,1,26.9,26.6,34.9,Rain,0,3
Bedok North Avenue 3,C,0,1,31.7,30.9,35.7,Mist,0,3
Bukit Timah Expressway,Y,6,16,60.0,63.4,59.8,Drizzle,0,6
Bukit Timah Expressway,Y,0,4,67.1,65.8,66.2,Clouds,0,7
Tampines Avenue 10,B,2,15,22.9,20.3,14.7,Thunderstorm,0,3
Nicoll Highway,B,6,20,37.5,32.4,30.3,Rain,0,5
Seletar Expressway,Y,6,14,35.2,29.6,33.8,Thunderstorm,0,5
Tampines Expressway,Y,5,3,76.6,76.5,85.7,Clear,0,8
East Coast Parkway,Y,0,19,43.2,40.3,44.6,Drizzle,1,5
Woodlands Avenue 12,B,6,21,41.2,43.7,54.2,Haze,0,4
Upper Thomson Road,B,5,22,22.3,23.9,18.2,Thunderstorm,0,3
Tampines Avenue 10,B,6,11,19.1,15.3,12.5,Thunderstorm,0,2
Pan Island Expressway,Y,6,13,76.2,78.2,76.3,Clouds,0,8
Kallang Paya Lebar Expressway,Y,6,21,70.8,64.7,71.9,Clouds,0,8
Bukit Timah Expressway,Y,0,22,73.5,73.2,72.9,Clear,0,8
Pan Island Expressway,Y,3,8,33.8,36.2,30.3,Rain,1,4
Woodlands Avenue 12,B,3,13,32.7,31.1,38.9,Drizzle,0,4
East Coast Parkway,Y,1,11,82.0,86.6,83.8,Clouds,0,8
Tampines Expressway,Y,3,0,70.2,70.6,67.3,Drizzle,0,8
Bukit Timah Expressway,Y,2,13,67.3,66.7,58.3,Mist,0,8
Clementi Avenue 3,C,2,0,35.6,39.0,38.3,Clouds,0,4
Upper Thomson Road,B,5,15,42.7,37.8,45.8,Haze,0,5
Orchard Road,B,3,9,23.9,22.4,22.3,Haze,1,4
Nicoll Highway,B,5,15,53.1,46.8,55.0,Clouds,0,6
Ayer Rajah Expressway,Y,2,4,54.0,54.1,60.6,Rain,0,7
Orchard Road,B,6,13,36.5,37.9,47.9,Haze,0,4
Orchard Road,B,5,21,28.6,25.7,34.9,Rain,0,4
Seletar Expressway,Y,4,17,45.2,48.2,45.6,Clouds,1,6
Bedok North Avenue 3,C,0,15,33.7,35.8,25.7,Mist,0,4
Bedok North Avenue 3,C,1,9,18.6,22.8,18.2,Haze,1,2
Orchard Road,B,1,11,44.2,40.2,35.9,Clouds,0,5
Orchard Road,B,1,9,17.3,20.1,13.4,Rain,1,3
Pan Island Expressway,Y,4,19,30.5,30.0,37.3,Drizzle,1,4
Tampines Avenue 10,B,1,6,26.5,26.5,32.2,Thunderstorm,0,4
Orchard Road,B,6,9,43.9,43.6,39.1,Clear,0,5
Pan Island Expressway,Y,3,21,54.1,61.3,48.8,Rain,0,5
Pan Island Expressway,Y,6,5,74.8,71.9,73.9,Haze,0,8
East Coast Parkway,Y,4,9,47.6,48.0,45.6,Drizzle,1,5
Bedok North Avenue 3,C,4,7,22.7,24.2,21.5,Clear,1,3
East Coast Parkway,Y,0,13,49.8,49.1,54.8,Thunderstorm,0,5
Ayer Rajah Expressway,Y,5,4,71.5,65.8,65.1,Clouds,0,7
Orchard Road,B,2,19,24.2,24.6,26.2,Haze,1,3
Upper Thomson Road,B,4,7,39.4,38.9,41.4,Clear,1,3
Tampines Expressway,Y,2,19,39.6,36.2,38.9,Clouds,1,4
Central Expressway,Y,3,3,69.4,73.3,60.7,Clouds,0,8
East Coast Parkway,Y,4,12,41.7,37.9,35.9,Thunderstorm,0,4
Nicoll Highway,B,0,13,42.9,42.2,55.2,Mist,0,5
Upper Thomson Road,B,3,14,50.0,53.5,55.2,Clear,0,5
Pan Island Expressway,Y,1,20,44.4,39.5,45.0,Clear,1,5
East Coast Parkway,Y,0,22,60.4,58.3,52.3,Rain,0,6
Pan Island Expressway,Y,1,5,57.8,60.3,61.6,Rain,0,7
Tampines Avenue 10,B,2,15,28.1,29.8,25.8,Thunderstorm,0,3
Orchard Road,B,5,5,34.2,35.4,34.7,Rain,0,4
Upper Thomson Road,B,1,10,38.1,35.7,35.5,Drizzle,0,5
Ayer Rajah Expressway,Y,0,10,67.4,65.5,66.1,Mist,0,8
Nicoll Highway,B,4,13,43.6,37.9,45.0,Drizzle,0,4
Bedok North Avenue 3,C,0,6,35.8,34.2,28.5,Clouds,0,4
Tampines Expressway,Y,3,13,64.1,61.0,64.1,Drizzle,0,7
Bedok North Avenue 3,C,3,14,33.1,36.0,38.0,Haze,0,3
Orchard Road,B,0,9,19.4,19.6,18.6,Drizzle,1,3
Orchard Road,B,2,22,42.7,40.8,46.6,Clear,0,5
Tampines Expressway,Y,5,5,66.8,71.5,66.5,Clouds,0,7
Central Expressway,Y,4,1,37.5,46.7,32.1,Thunderstorm,0,4
Orchard Road,B,6,13,37.5,35.5,32.1,Clouds,0,3
Upper Thomson Road,B,1,23,49.0,50.2,50.5,Clear,0,6
Orchard Road,B,0,22,35.9,36.3,33.9,Mist,0,4
Ayer Rajah Expressway,Y,4,3,63.0,61.0,59.7,Drizzle,0,6
Tampines Avenue 10,B,0,6,22.3,18.1,27.4,Thunderstorm,0,3
